Probe_Id	Gene_Symbol
ENSMMUG00000023667	AMPH
ENSMMUG00000005452	AMT
ENSMMUG00000031908	AMY2A
ENSMMUG00000004088	AMZ1
ENSMMUG00000009692	AMZ2
ENSMMUG00000004432	ANAPC10
ENSMMUG00000012887	ANAPC11
ENSMMUG00000012750	ANAPC13
ENSMMUG00000016270	ANAPC15
ENSMMUG00000015600	ANAPC16
ENSMMUG00000001669	ANAPC2
ENSMMUG00000004458	ANAPC4
ENSMMUG00000018675	ANAPC7
ENSMMUG00000018551	ANGEL1
ENSMMUG00000017745	ANGPT1
ENSMMUG00000010139	ANGPT2
ENSMMUG00000012161	ANGPTL2
ENSMMUG00000020783	ANGPTL5
ENSMMUG00000006187	ANGPTL7
ENSMMUG00000014726	ANK1
ENSMMUG00000008633	ANK2
ENSMMUG00000003589	ANK3
ENSMMUG00000014314	ANKAR
ENSMMUG00000010948	ANKDD1A
ENSMMUG00000005793	ANKFN1
ENSMMUG00000019184	ANKFY1
ENSMMUG00000021942	ANKH
ENSMMUG00000019582	ANKHD1-EIF4EBP3
ENSMMUG00000005120	ANKIB1
ENSMMUG00000016228	ANKLE1
ENSMMUG00000015467	ANKLE2
ENSMMUG00000014835	ANKMY1
ENSMMUG00000017041	ANKMY2
ENSMMUG00000023513	ANKRA2
ENSMMUG00000018929	ANKRD10
ENSMMUG00000017161	ANKRD11
ENSMMUG00000022097	ANKRD12
ENSMMUG00000007678	ANKRD13A
ENSMMUG00000014409	ANKRD13B
ENSMMUG00000013853	ANKRD13C
ENSMMUG00000030283	ANKRD17
ENSMMUG00000020032	ANKRD2
ENSMMUG00000000470	ANKRD22
ENSMMUG00000016403	ANKRD26
ENSMMUG00000008041	ANKRD27
ENSMMUG00000021288	ANKRD28
ENSMMUG00000020328	ANKRD29
ENSMMUG00000011321	ANKRD31
ENSMMUG00000001392	ANKRD32
ENSMMUG00000001130	ANKRD33B
ENSMMUG00000016732	ANKRD35
ENSMMUG00000008983	Ankrd36
ENSMMUG00000003421	ANKRD40
ENSMMUG00000005031	ANKRD42
ENSMMUG00000022425	ANKRD44
ENSMMUG00000009958	ANKRD46
ENSMMUG00000004119	ANKRD49
ENSMMUG00000006783	ANKRD50
ENSMMUG00000008677	ANKRD52
ENSMMUG00000015254	ANKRD54
ENSMMUG00000003462	ANKRD6
ENSMMUG00000016889	ANKRD9
ENSMMUG00000021718	ANKS1A
ENSMMUG00000022406	ANKS1B
ENSMMUG00000016763	ANKS4B
ENSMMUG00000018523	ANKS6
ENSMMUG00000014510	ANKZF1
ENSMMUG00000021186	ANLN
ENSMMUG00000019734	ANO1
ENSMMUG00000001029	ANO10
ENSMMUG00000011512	ANO2
ENSMMUG00000012924	ANO3
ENSMMUG00000018718	ANO4
ENSMMUG00000006183	ANO5
ENSMMUG00000011811	ANO6
ENSMMUG00000001721	ANO7
ENSMMUG00000022717	ANP32A
ENSMMUG00000012242	ANP32B
ENSMMUG00000014983	ANPEP
ENSMMUG00000003333	ANTXR2
ENSMMUG00000012667	ANXA1
ENSMMUG00000001879	ANXA10
ENSMMUG00000019780	ANXA11
ENSMMUG00000018008	ANXA13
ENSMMUG00000012000	ANXA2
ENSMMUG00000019477	ANXA2R
ENSMMUG00000022218	ANXA3
ENSMMUG00000000857	ANXA4
ENSMMUG00000009194	ANXA5
ENSMMUG00000021053	ANXA6
ENSMMUG00000015708	ANXA7
ENSMMUG00000023231	ANXA9
ENSMMUG00000022275	AOAH
ENSMMUG00000001870	AOC2
ENSMMUG00000001871	AOC3
ENSMMUG00000021931	AOX1
ENSMMUG00000005835	Aox3l1
ENSMMUG00000015591	AP1AR
ENSMMUG00000021380	AP1B1
ENSMMUG00000010878	AP1G1
ENSMMUG00000014026	AP1M1
ENSMMUG00000014055	AP1S2
ENSMMUG00000009710	AP1S3
ENSMMUG00000011612	AP2A1
ENSMMUG00000003620	AP2A2
ENSMMUG00000006557	AP2M1
ENSMMUG00000000833	AP2S1
ENSMMUG00000001360	AP3B1
ENSMMUG00000000617	AP3B2
ENSMMUG00000015663	AP3D1
ENSMMUG00000020825	AP3M1
ENSMMUG00000014431	AP3M2
ENSMMUG00000015288	AP3S1
ENSMMUG00000014985	AP3S2
ENSMMUG00000019528	AP4B1
ENSMMUG00000015159	AP4E1
ENSMMUG00000013447	AP4M1
ENSMMUG00000012583	AP5B1
ENSMMUG00000018279	AP5M1
ENSMMUG00000017154	AP5S1
ENSMMUG00000022404	APAF1
ENSMMUG00000019339	APBA2
ENSMMUG00000009672	APBA3
ENSMMUG00000022948	APBB1IP
ENSMMUG00000012563	APBB2
ENSMMUG00000001707	APBB3
ENSMMUG00000003053	APC2
ENSMMUG00000011772	APCDD1
ENSMMUG00000014540	APEH
ENSMMUG00000019123	APEX1
ENSMMUG00000008428	APEX2
ENSMMUG00000021386	APH1A
ENSMMUG00000017856	APH1B
ENSMMUG00000008827	API5
ENSMMUG00000007552	APLF
ENSMMUG00000010627	APLNR
ENSMMUG00000019753	APLP1
ENSMMUG00000018029	APLP2
ENSMMUG00000005755	APMAP
ENSMMUG00000016125	APOA1
ENSMMUG00000002623	APOA1BP
ENSMMUG00000007692	APOB
ENSMMUG00000016169	APOBEC1
ENSMMUG00000021171	APOBEC2
ENSMMUG00000004017	APOBEC3C
ENSMMUG00000004018	APOBEC3D
ENSMMUG00000004015	APOBEC3G
ENSMMUG00000001016	APOBEC3H
ENSMMUG00000000707	APOBR
ENSMMUG00000016126	APOC3
ENSMMUG00000031415	APOD
ENSMMUG00000014305	APOE
ENSMMUG00000001537	APOL2
ENSMMUG00000001050	APOL6
ENSMMUG00000005303	APOM
ENSMMUG00000016361	APOO
ENSMMUG00000004335	APOOL
ENSMMUG00000017006	APOPT1
ENSMMUG00000014384	App
ENSMMUG00000016566	APPBP2
ENSMMUG00000009524	APPL2
ENSMMUG00000013824	APRT
ENSMMUG00000007724	APTX
ENSMMUG00000018944	AQP11
ENSMMUG00000003314	AQP3
ENSMMUG00000014934	AQP4
ENSMMUG00000031964	AQP5
ENSMMUG00000001545	AQP7
ENSMMUG00000010472	AQP8
ENSMMUG00000011225	AQP9
ENSMMUG00000022191	AQPEP
ENSMMUG00000002337	AQR
ENSMMUG00000011437	AR
ENSMMUG00000011418	ARAF
ENSMMUG00000006871	ARAP2
ENSMMUG00000000465	ARAP3
ENSMMUG00000018519	ARC
ENSMMUG00000002543	ARCN1
ENSMMUG00000002792	ARF1
ENSMMUG00000006968	ARF3
ENSMMUG00000018617	ARF4
ENSMMUG00000019688	ARF5
ENSMMUG00000015642	ARF6
ENSMMUG00000015911	ARFGAP1
ENSMMUG00000006357	ARFGAP2
ENSMMUG00000002229	ARFGAP3
ENSMMUG00000014424	ARFGEF1
ENSMMUG00000019635	ARFGEF2
ENSMMUG00000018490	ARFIP1
ENSMMUG00000007731	ARFIP2
ENSMMUG00000000169	ARFRP1
ENSMMUG00000017540	ARG1
ENSMMUG00000015865	ARG2
ENSMMUG00000022084	ARGLU1
ENSMMUG00000007831	ARHGAP1
ENSMMUG00000014953	ARHGAP10
ENSMMUG00000012276	ARHGAP11A
ENSMMUG00000004778	ARHGAP12
ENSMMUG00000006528	ARHGAP15
ENSMMUG00000001408	ARHGAP17
ENSMMUG00000020365	ARHGAP18
ENSMMUG00000010428	ARHGAP19
ENSMMUG00000000527	ARHGAP20
ENSMMUG00000016123	ARHGAP21
ENSMMUG00000004063	ARHGAP22
ENSMMUG00000020020	ARHGAP23
ENSMMUG00000008341	ARHGAP24
ENSMMUG00000015052	ARHGAP25
ENSMMUG00000021932	ARHGAP27
ENSMMUG00000014506	ARHGAP28
ENSMMUG00000006369	ARHGAP29
ENSMMUG00000012009	ARHGAP31
ENSMMUG00000002963	ARHGAP32
ENSMMUG00000002394	ARHGAP33
ENSMMUG00000011332	ARHGAP35
ENSMMUG00000011154	ARHGAP36
ENSMMUG00000015596	ARHGAP39
ENSMMUG00000000323	ARHGAP4
ENSMMUG00000022603	ARHGAP42
ENSMMUG00000022515	ARHGAP44
ENSMMUG00000016346	ARHGAP5
ENSMMUG00000003896	ARHGAP6
ENSMMUG00000022060	ARHGAP9
ENSMMUG00000009949	ARHGDIA
ENSMMUG00000018032	ARHGDIB
ENSMMUG00000000603	ARHGDIG
ENSMMUG00000010849	ARHGEF10L
ENSMMUG00000012436	ARHGEF11
ENSMMUG00000012254	ARHGEF12
ENSMMUG00000009354	ARHGEF16
ENSMMUG00000003139	ARHGEF17
ENSMMUG00000008406	ARHGEF18
ENSMMUG00000005092	ARHGEF2
ENSMMUG00000031819	ARHGEF25
ENSMMUG00000009036	ARHGEF26
ENSMMUG00000017896	ARHGEF28
ENSMMUG00000010163	ARHGEF3
ENSMMUG00000020573	ARHGEF33
ENSMMUG00000021067	ARHGEF33
ENSMMUG00000017714	ARHGEF37
ENSMMUG00000016323	ARHGEF39
ENSMMUG00000011314	ARHGEF4
ENSMMUG00000006457	ARHGEF40
ENSMMUG00000010134	ARHGEF5
ENSMMUG00000013768	ARHGEF6
ENSMMUG00000013138	ARHGEF7
ENSMMUG00000016233	ARHGEF9
ENSMMUG00000012697	ARID1A
ENSMMUG00000002270	ARID1B
ENSMMUG00000015962	ARID2
ENSMMUG00000002278	ARID3A
ENSMMUG00000001568	ARID3B
ENSMMUG00000020786	ARID3C
ENSMMUG00000003514	ARID4A
ENSMMUG00000000424	ARID5B
ENSMMUG00000006490	ARIH1
ENSMMUG00000019715	ARL10
ENSMMUG00000011766	ARL11
ENSMMUG00000020335	ARL13B
ENSMMUG00000031560	ARL14
ENSMMUG00000017590	ARL14EP
ENSMMUG00000011995	ARL15
ENSMMUG00000020352	ARL2BP
ENSMMUG00000010846	ARL4A
ENSMMUG00000011516	ARL4C
ENSMMUG00000021324	ARL4D
ENSMMUG00000010521	ARL5A
ENSMMUG00000007453	ARL5B
ENSMMUG00000023332	ARL6
ENSMMUG00000008627	ARL6IP5
ENSMMUG00000012386	ARL6IP6
ENSMMUG00000008810	ARL8B
ENSMMUG00000017785	ARL9
ENSMMUG00000028974	ARMC1
ENSMMUG00000012435	ARMC10
ENSMMUG00000018231	ARMC2
ENSMMUG00000010384	ARMC3
ENSMMUG00000020661	ARMC4
ENSMMUG00000000895	ARMC5
ENSMMUG00000029833	ARMC7
ENSMMUG00000021285	ARMC8
ENSMMUG00000011775	ARMC9
ENSMMUG00000023604	ARMCX1
ENSMMUG00000015656	ARMCX2
ENSMMUG00000015655	ARMCX3
ENSMMUG00000023606	Armcx4
ENSMMUG00000005291	ARMCX5
ENSMMUG00000032394	ARMCX6
ENSMMUG00000000541	ARNT
ENSMMUG00000009690	ARNTL
ENSMMUG00000023249	ARNTL2
